Mean		Variance		Passed
49.49387500000002	0.8405387521271265	true
49.55265199999991	0.8031567576536539	true
49.527803000000006	0.8573889191101108	true
49.572258999999974	0.8400788247437431	false
49.50819200000005	0.8832009120480482	true
49.52562600000001	0.9142437718958973	true
49.43766000000006	1.1291379123123104	true
49.46582299999992	0.8070818715425423	true
49.49233599999994	0.8750261132172171	true
49.50508699999998	0.9100970084394385	true
49.49701699999995	0.8491390517627617	true
49.494946000000056	0.8814476427267272	true
49.51388300000001	0.8208472765875877	true
49.49847600000001	0.836221338762763	true
49.49464700000001	0.8842756360270276	true
49.49402200000002	0.8127464799959949	true
49.503482999999925	0.8267536353463463	true
49.480492999999996	0.8827105525035035	true
49.51893499999998	0.8009912039789782	true
49.49012899999999	0.801524669028028	true
49.490404000000034	0.8726503751591607	true
49.53701199999998	0.859841407263263	true
49.50951100000001	0.9026279858648671	true
49.50157499999997	0.7476633477227221	true
49.504756000000015	0.8015140865505508	true
49.485342	0.7420389579939941	true
49.501462	0.8036911316876875	true
49.552315	0.7883211248998989	true
49.49592100000005	0.7866821088678675	true
49.47817699999999	0.8972393950660661	true
Total successes: 29


boolChi		boolPasses		intChi		intPasses
0.04	3	84.50640000000007	3
4.401604	0	85.03879999999997	3
1.882384	0	101.75560000000003	1
0.3721	2	100.71940000000002	1
0.045796	3	76.37140000000004	5
0.215296	2	93.17699999999995	2
0.0036	5	85.01879999999997	3
0.7569	1	94.62179999999996	2
0.228484	2	91.07160000000003	2
1.032256	1	100.65720000000002	1
0.1024	2	8.796399999999997	5
0.599076	1	94.9656	2
0.5776	1	87.6316	3
3.526884	0	113.90820000000005	0
0.041616	3	101.52180000000003	1
2.802276	0	97.10779999999997	2
2.7556	0	132.5342	0
0.1936	2	80.34440000000002	4
1.710864	0	103.69079999999998	1
0.033856	3	86.3496	3
0.799236	1	93.8002	2
0.538756	1	87.22780000000003	3
1.860496	0	74.77480000000001	5
2.598544	0	100.39540000000007	1
2.039184	0	89.1788	3
0.318096	2	123.38240000000003	0
0.087616	3	104.81179999999999	1
0.001764	5	90.34799999999998	2
0.005184	4	105.23300000000002	1
4.84E-4	5	14.923	5
